ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CHL,Chile,Unemployment rate,Percent of total labor force,,,9.708,9.867,9.8,9.533,10.017,9.3,7.95,7.008,7.75,10.833,8.153,7.119,6.432,5.932,6.05,6.2,6.4,6.4,6.4,6.4
CHL,Chile,Population,Persons,Millions,,15.398,15.572,15.746,15.919,16.093,16.267,16.433,16.598,16.763,16.929,17.094,17.248,17.403,17.557,17.711,17.865,18.002,18.139,18.276,18.412
CHN,China,Gross domestic product constant prices,National currency,Billions,,5219.31,5652.52,6165.89,6784.04,7468.22,8312.88,9366.66,10693.2,11723.46,12803.68,14141.28,15456.4,16639.21,17915.64,19266.2,20669.45,22110.07,23605,25169.84,26810.94
CHN,China,Inflation average consumer prices,Index,,,200.493,201.946,200.398,202.736,210.642,214.469,217.615,227.988,241.439,239.789,247.762,261.183,268.104,275.164,283.419,291.921,300.679,309.699,318.99,328.56
CHN,China,Unemployment rate,Percent of total labor force,,,3.1,3.6,4,4.3,4.2,4.2,4.1,4,4.2,4.3,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
CHN,China,Population,Persons,Millions,,1267.43,1276.27,1284.53,1292.27,1299.88,1307.56,1314.48,1321.29,1328.02,1334.5,1340.91,1347.35,1354.04,1360.76,1367.52,1374.31,1381.13,1387.99,1394.88,1401.81
COL,Colombia,Gross domestic product constant prices,National currency,Billions,,284761,289539,296789,308418,324866,340156,362938,387983,401744,408379,424599,452815,471892,492016.05,514096.43,537096.35,561383.94,586649.92,613039.85,640874.57
COL,Colombia,Inflation average consumer prices,Index,,,60.688,65.523,69.684,74.653,79.06,83.053,86.619,91.422,97.818,101.929,104.245,107.805,111.222,113.465,115.623,118.945,122.563,126.291,130.132,134.09
COL,Colombia,Unemployment rate,Percent of total labor force,,,13.325,14.975,15.583,14.108,13.667,11.808,12.042,11.2,11.25,12.017,11.792,10.842,10.383,9.65,9.3,9,9,9,9,9
COL,Colombia,Population,Persons,Millions,,40.282,40.806,41.327,41.847,42.368,42.889,43.405,43.926,44.45,44.978,45.512,46.052,46.598,47.151,47.711,48.277,48.85,49.429,50.016,50.61
COM,Comoros,Gross domestic product constant prices,National currency,Billions,,107.811,111.4,116.023,118.894,118.609,123.626,125.161,125.776,127.002,129.301,131.954,134.893,138.886,143.773,149.467,155.391,161.552,168.015,174.737,181.727
COM,Comoros,Inflation average consumer prices,Index,,,100,105.571,109.348,113.409,118.508,122.071,126.209,131.87,138.2,144.818,150.464,160.649,170.77,174.698,180.286,186.11,192.118,198.306,204.692,211.059
COM,Comoros,Population,Persons,Millions,,0.54,0.552,0.564,0.576,0.588,0.6,0.613,0.626,0.639,0.652,0.666,0.68,0.694,0.709,0.724,0.739,0.754,0.77,0.786,0.803
COD,Democratic Republic of the Congo,Gross domestic product constant prices,National currency,Billions,,4703.67,4604.88,4740.62,5005.05,5342.31,5670.07,5971.77,6345.57,6740.64,6933.09,7423.87,7933.5,8501.36,9222.35,10023.09,10878.79,11742.7,12595.36,13412.55,14158.71
COD,Democratic Republic of the Congo,Inflation average consumer prices,Index,,,100,457.28,573.047,646.493,672.356,816.197,924.025,1078.46,1272.21,1860.24,2296.74,2653.62,2710.24,2732.11,2796.95,2911.62,3049.92,3210.04,3386.6,3572.86
COD,Democratic Republic of the Congo,Population,Persons,Millions,,52.427,54,55.62,57.289,59.007,60.777,62.601,64.479,66.413,68.406,70.458,72.571,74.749,76.991,79.301,81.68,84.13,86.654,89.254,91.931
COG,Republic of Congo,Gross domestic product constant prices,National currency,Billions,,877.82,911.2,952.95,960.7,994.1,1071.2,1138,1119.99,1182.4,1270.72,1381.82,1428.94,1483.42,1550.5,1676.33,1773.43,1917.43,2126.38,2225.5,2282.68
COG,Republic of Congo,Inflation average consumer prices,Index,,,86.004,86.73,89.319,90.828,94.162,96.484,100.978,103.598,109.835,114.601,120.331,122.448,128.583,134.539,137.705,141.071,144.682,148.591,152.289,155.701
COG,Republic of Congo,Population,Persons,Millions,,2.904,2.988,3.075,3.164,3.256,3.35,3.447,3.547,3.65,3.756,3.865,3.977,4.092,4.182,4.274,4.368,4.46,4.554,4.65,4.748
CRI,Costa Rica,Gross domestic product constant prices,National currency,Billions,,1423.36,1438.68,1480.44,1575.25,1642.35,1739.02,1891.7,2041.81,2097.59,2076.28,2179.15,2277.43,2394.35,2478.09,2572.26,2677.72,2792.86,2918.54,3049.88,3187.12
CRI,Costa Rica,Inflation average consumer prices,Index,,,52.303,58.189,63.523,69.526,78.086,88.862,99.053,108.323,122.863,132.5,140.003,146.833,153.434,161.462,166.105,173.58,181.391,189.554,198.083,206.997
CRI,Costa Rica,Unemployment rate,Percent of total labor force,,,5.193,6.072,6.403,6.668,6.495,6.63,5.962,4.597,4.948,7.822,7.288,7.659,7.769,9,8.5,8,7.5,7,6.5,6.5
CRI,Costa Rica,Population,Persons,Millions,,3.81,3.953,4.022,4.086,4.152,4.215,4.279,4.34,4.404,4.469,4.534,4.592,4.652,4.756,4.863,4.971,5.082,5.196,5.312,5.431
CIV,C�te d'Ivoire,Gross domestic product constant prices,National currency,Billions,,7416.75,7418.19,7301.46,7179,7292.4,7430.98,7485.18,7603.83,7780.94,8072.73,8270.41,7879.56,8648.38,9347.42,10109.7,10883.17,11716.38,12577.86,13443.45,14213.75
CIV,C�te d'Ivoire,Inflation average consumer prices,Index,,,100,104.355,107.569,111.116,112.737,117.116,120.004,122.278,130,131.311,133.105,139.621,141.435,145.089,146.78,150.45,154.211,158.066,162.018,166.068
CIV,C�te d'Ivoire,Population,Persons,Millions,,16.735,17.051,17.336,17.604,18.5,19,19.57,20.157,20.762,21.385,22.026,22.687,23.368,24.069,24.791,25.534,26.3,27.089,27.902,28.739
HRV,Croatia,Gross domestic product constant prices,National currency,Billions,,214.374,222.213,233.053,245.569,255.708,266.652,279.811,293.97,300.096,279.248,272.904,272.263,267.172,264.492,262.858,263.91,267.341,272.527,278.25,283.815
HRV,Croatia,Inflation average consumer prices,Index,,,75.823,78.676,79.993,81.411,83.062,85.837,88.592,91.138,96.666,98.963,99.999,102.261,105.765,108.083,108.624,109.819,111.905,114.255,116.883,119.805
HRV,Croatia,Unemployment rate,Percent of total labor force,,,16.281,15.63,14.948,14.284,13.783,12.775,11.193,9.413,8.282,9.002,12.099,13.584,16.062,16.462,16.792,17.127,16.785,15.274,13.9,12.649
HRV,Croatia,Population,Persons,Millions,,4.381,4.305,4.305,4.306,4.311,4.312,4.314,4.312,4.31,4.303,4.29,4.281,4.281,4.281,4.281,4.281,4.281,4.281,4.281,4.281
CYP,Cyprus,Gross domestic product constant prices,National currency,Billions,,11.439,11.9,12.153,12.38,12.904,13.402,13.955,14.666,15.192,14.91,15.106,15.172,14.806,13.917,13.256,13.369,13.618,13.937,14.251,14.528
CYP,Cyprus,Inflation average consumer prices,Index,,,88.242,89.989,92.5,96.168,97.987,99.987,102.239,104.457,109.038,109.233,112.034,115.938,119.523,119.978,120.516,122.203,124.281,126.394,128.669,131.113
CYP,Cyprus,Unemployment rate,Percent of total labor force,,,4.808,3.908,3.533,4.117,4.608,5.358,4.533,3.9,3.658,5.417,6.267,7.917,11.9,16.04,19.229,18.431,17.029,15.385,13.986,12.526
CYP,Cyprus,Employment,Persons,Millions,,0.315,0.322,0.328,0.34,0.354,0.366,0.373,0.386,0.393,0.392,0.391,0.393,0.376,0.355,0.339,0.342,n/a,n/a,n/a,n/a
CYP,Cyprus,Population,Persons,Millions,,0.698,0.706,0.714,0.723,0.733,0.744,0.758,0.776,0.797,0.819,0.84,0.862,0.872,0.881,0.891,0.9,0.909,0.918,0.926,0.934
CZE,Czech Republic,Gross domestic product constant prices,National currency,Billions,,2550.15,2629.14,2685.64,2786.79,2918.96,3116.06,3334.82,3526.07,3635.34,3471.49,3557.22,3621.91,3584.92,3553.65,3620.74,3693.8,3772.62,3858.74,3952.34,4048.73
CZE,Czech Republic,Inflation average consumer prices,Index,,,89.442,93.625,95.383,95.492,98.142,99.95,102.492,105.425,112.108,113.267,114.925,117.142,121,122.717,123.944,126.299,128.825,131.401,134.029,136.71
CZE,Czech Republic,Unemployment rate,Percent of total labor force,,,8.824,8.166,7.313,7.812,8.321,7.927,7.148,5.32,4.392,6.662,7.279,6.711,6.978,6.953,6.662,6.34,6.089,5.801,5.479,5.153
CZE,Czech Republic,Employment,Persons,Millions,,4.681,4.684,4.731,4.701,4.691,4.764,4.828,4.922,5.003,4.934,4.885,4.873,4.89,4.937,4.961,4.986,n/a,n/a,n/a,n/a
CZE,Czech Republic,Population,Persons,Millions,,10.278,10.232,10.201,10.193,10.195,10.199,10.224,10.254,10.343,10.426,10.462,10.487,10.505,10.516,10.535,10.551,10.565,10.578,10.587,10.594
DNK,Denmark,Gross domestic product constant prices,National currency,Billions,,1451.83,1462.06,1468.88,1474.51,1508.38,1545.26,1597.71,1623.01,1610.29,1519.04,1540.11,1556.61,1551.03,1557.71,1580.77,1607.21,1633.92,1661.4,1690.56,1720.38
DNK,Denmark,Inflation average consumer prices,Index,,,100,102.35,104.833,107.025,108.267,110.225,112.308,114.233,118.117,119.683,122.433,125.808,128.842,129.85,131.798,134.17,137.122,140.139,143.222,146.372
DNK,Denmark,Unemployment rate,Percent of total labor force,,,4.317,4.508,4.642,5.433,5.517,4.8,3.9,3.767,3.458,5.992,7.475,7.567,7.533,7.008,6.8,6.7,6.7,6.6,6.4,6.4
DNK,Denmark,Employment,Persons,Millions,,2.713,2.741,2.71,2.706,2.733,2.755,2.807,2.802,2.868,2.773,2.708,2.705,2.687,2.687,2.702,2.714,n/a,n/a,n/a,n/a
DNK,Denmark,Population,Persons,Millions,,5.33,5.349,5.368,5.384,5.398,5.411,5.427,5.447,5.476,5.511,5.535,5.561,5.581,5.591,5.61,5.629,5.648,5.666,5.684,5.702
DJI,Djibouti,Gross domestic product constant prices,National currency,Billions,,67.668,68.881,71.109,73.375,75.414,77.76,81.463,85.601,90.571,95.127,98.444,102.843,107.822,113.213,119.997,127.742,136.045,144.888,153.581,162.489
DJI,Djibouti,Inflation average consumer prices,Index,,,100,101.76,102.403,104.419,107.675,111.026,114.877,120.586,135.004,137.263,142.691,149.931,155.534,159.458,163.444,167.53,171.719,176.012,180.412,184.922
DJI,Djibouti,Population,Persons,Millions,,0.638,0.656,0.674,0.693,0.713,0.733,0.753,0.774,0.796,0.818,0.841,0.865,0.889,0.914,0.939,0.966,0.993,1.02,1.049,1.078
DMA,Dominica,Gross domestic product constant prices,National currency,Billions,,0.909,0.914,0.896,0.965,0.99,0.987,1.032,1.093,1.179,1.165,1.18,1.182,1.168,1.177,1.197,1.217,1.242,1.269,1.3,1.324
DMA,Dominica,Inflation average consumer prices,Index,,,80.267,81.516,81.604,82.891,84.89,86.264,88.513,91.366,97.176,97.182,99.913,101.174,102.651,102.206,104.013,105.839,107.804,110.013,112.193,114.241
DMA,Dominica,Population,Persons,Millions,,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
DOM,Dominican Republic,Gross domestic product constant prices,National currency,Billions,,220.359,224.346,237.331,236.73,239.836,262.051,290.015,314.593,331.127,342.564,369.117,385.664,400.658,417.053,435.658,453.52,472.115,490.999,510.639,531.065
DOM,Dominican Republic,Inflation average consumer prices,Index,,,109.131,118.825,125.032,159.353,241.357,251.47,270.513,287.133,317.697,322.278,342.678,371.666,385.398,404.017,419.898,437.742,455.251,473.461,492.4,512.096
DOM,Dominican Republic,Unemployment rate,Percent of total labor force,,,6.343,7.179,6.619,6.764,6.145,6.41,5.491,5.008,4.638,5.31,5.001,5.783,6.445,7.019,6.097,5.897,5.697,5.697,5.697,5.697
DOM,Dominican Republic,Population,Persons,Millions,,8.263,8.411,8.563,8.717,8.873,9.033,9.195,9.361,9.529,9.7,9.874,10.051,10.231,10.415,10.602,10.792,10.986,11.183,11.383,11.587
ECU,Ecuador,Gross domestic product constant prices,National currency,Billions,,37.726,39.241,40.849,41.961,45.407,47.809,49.915,51.008,54.25,54.558,56.481,60.883,64.01,66.723,69.502,71.933,74.451,77.057,79.752,82.545
ECU,Ecuador,Inflation average consumer prices,Index,,,58.111,80.019,90.102,97.248,99.957,102.078,105.447,107.848,116.907,122.939,127.308,133.006,139.79,143.599,147.688,151.455,155.241,159.122,163.1,167.178
ECU,Ecuador,Unemployment rate,Percent of total labor force,,,14.1,10.417,8.642,9.808,10.968,10.705,10.1,8.8,6.918,8.485,7.59,5.998,4.928,4.735,5,5,5,5,5,5
ECU,Ecuador,Population,Persons,Millions,,12.714,12.904,13.094,13.32,13.552,13.721,13.965,14.215,14.473,14.738,15.012,15.266,15.521,15.775,16.027,16.279,16.529,16.777,17.023,17.268
EGY,Egypt,Gross domestic product constant prices,National currency,Billions,,354.703,367.203,378.9,391,407,425.2,454.3,486.5,521.315,545.68,573.767,583.957,596.89,609.412,623.162,648.652,675.12,701.845,730.182,759.694
EGY,Egypt,Inflation average consumer prices,Index,,,100,102.431,105.719,105.719,114.289,124.376,129.603,143.806,160.628,186.718,208.57,231.654,251.691,269.095,297.756,331.013,369.803,414.196,464.61,521.293
EGY,Egypt,Unemployment rate,Percent of total labor force,,,8.995,8.808,10.05,11.275,10.526,11.468,10.917,9.205,8.676,9.367,9.185,12.061,12.313,13,12.977,13.092,13.213,13.406,13.552,13.696
EGY,Egypt,Population,Persons,Millions,,63.3,64.7,66,67.3,68.6,70,71.3,73.6,75.2,76.9,78.7,80.4,82.5,84.15,85.833,87.55,89.301,91.087,92.908,94.767
SLV,El Salvador,Gross domestic product constant prices,National currency,Billions,,7.531,7.66,7.839,8.019,8.168,8.459,8.79,9.127,9.243,8.954,9.076,9.277,9.456,9.607,9.761,9.927,10.106,10.308,10.514,10.724
SLV,El Salvador,Inflation average consumer prices,Index,,,72.16,74.863,76.262,77.879,81.347,85.162,88.598,92.656,99.381,99.915,101.093,106.278,108.117,108.936,110.897,113.78,116.738,119.773,122.888,126.083
SLV,El Salvador,Unemployment rate,Percent of total labor force,,,7,7,6.2,6.9,6.8,7.2,6.6,6.3,5.9,8.104,5.855,5.429,5.572,5.737,5.737,5.687,5.637,5.537,5.537,5.537
SLV,El Salvador,Population,Persons,Millions,,5.96,5.99,6.01,6.03,6.05,6.07,6.1,6.12,6.15,6.18,6.22,6.26,6.3,6.325,6.352,6.377,6.403,6.429,6.455,6.482
GNQ,Equatorial Guinea,Gross domestic product constant prices,National currency,Billions,,1238.94,2024.18,2418.15,2755.61,3802.7,4173.41,4225.99,4781.13,5367.87,4935.06,4870.89,5114.34,5278.88,5020.71,4899.02,4494.66,4534.72,4284.38,3954.14,3580.74
GNQ,Equatorial Guinea,Inflation average consumer prices,Index,,,100,108.739,116.984,125.552,130.872,138.249,144.422,148.463,155.369,164.283,173.023,181.326,187.568,193.53,201.098,208.479,215.61,222.574,229.292,236.164
GNQ,Equatorial Guinea,Population,Persons,Millions,,0.517,0.534,0.551,0.568,0.586,0.604,0.622,0.64,0.658,0.677,0.696,0.716,0.736,0.757,0.778,0.799,0.821,0.843,0.865,0.887
ERI,Eritrea,Gross domestic product constant prices,National currency,Billions,,6.799,7.394,7.616,7.414,7.522,7.715,7.641,7.75,6.991,7.262,7.422,8.066,8.632,8.747,8.949,9.122,9.305,9.491,9.799,10.15
ERI,Eritrea,Inflation average consumer prices,Index,,,100,114.625,133.97,164.34,205.606,231.319,266.165,290.93,348.95,464.104,523.085,592.882,665.546,747.116,838.683,941.472,1056.86,1186.39,1331.79,1495.02
ERI,Eritrea,Population,Persons,Millions,,3.939,4.102,4.282,4.473,4.666,4.854,5.035,5.21,5.382,5.558,5.741,5.93,6.126,6.328,6.537,6.752,6.975,7.205,7.442,7.688
EST,Estonia,Gross domestic product constant prices,National currency,Billions,,7.915,8.412,8.964,9.66,10.272,11.182,12.311,13.233,12.684,10.896,11.175,12.243,12.725,12.831,13.134,13.556,14.029,14.532,15.066,15.624
EST,Estonia,Inflation average consumer prices,Index,,,84.034,88.761,91.948,93.223,96.048,100,104.445,111.489,123.314,123.558,126.947,133.395,139.022,143.909,148.514,152.673,156.489,160.245,163.931,167.537
EST,Estonia,Unemployment rate,Percent of total labor force,,,14.602,13.009,11.227,10.342,10.141,8.031,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,8.459,8.408,8.186,8.099,8.016,7.989
EST,Estonia,Employment,Persons,Millions,,0.585,0.59,0.59,0.603,0.602,0.616,0.652,0.658,0.656,0.594,0.568,0.603,0.615,0.621,0.622,0.622,n/a,n/a,n/a,n/a
EST,Estonia,Population,Persons,Millions,,1.372,1.367,1.361,1.356,1.351,1.348,1.345,1.342,1.341,1.34,1.34,1.34,1.294,1.286,1.333,1.332,1.332,1.331,1.331,1.33
ETH,Ethiopia,Gross domestic product constant prices,National currency,Billions,,184.625,198.321,201.561,197.331,220.477,248.355,277.013,309.687,344.332,378.907,418.947,466.648,506.533,555.839,597.334,642.032,687.035,735.237,786.874,837.931
ETH,Ethiopia,Inflation average consumer prices,Index,,,100,91.762,93.28,109.848,113.386,126.603,143.767,168.56,243.352,263.986,285.459,380.324,472.055,509.96,541.536,583.749,630.449,680.885,735.355,794.184
ETH,Ethiopia,Population,Persons,Millions,,65.578,67.304,69.041,70.784,72.527,74.264,75.993,77.718,79.446,81.188,82.95,84.734,86.768,88.85,90.982,92.984,95.03,97.12,99.063,101.044
FJI,Fiji,Gross domestic product constant prices,National currency,Billions,,4.038,4.118,4.247,4.29,4.524,4.637,4.723,4.682,4.731,4.665,4.803,4.933,5.016,5.169,5.286,5.408,5.532,5.661,5.794,5.933
FJI,Fiji,Inflation average consumer prices,Index,,,130.741,136.316,137.299,143.093,147.138,150.527,154.327,161.753,174.25,180.62,187.283,200.921,207.785,213.827,220.242,226.849,233.655,240.664,247.644,254.825
FJI,Fiji,Unemployment rate,Percent of total labor force,,,5.512,5.951,6.388,6.822,7.255,7.3,7.7,8.6,8.8,8.7,8.9,9,8.6,8.8,9,9,9,9,9,9
FJI,Fiji,Population,Persons,Millions,,0.812,0.815,0.816,0.817,0.819,0.822,0.828,0.835,0.844,0.852,0.861,0.868,0.872,0.877,0.881,0.885,0.89,0.894,0.899,0.903
FIN,Finland,Gross domestic product constant prices,National currency,Billions,,132.195,135.214,137.694,140.465,146.26,150.524,157.164,165.549,166.035,151.858,156.965,161.399,159.772,157.567,158.118,159.868,162.273,164.93,167.841,170.806
FIN,Finland,Inflation average consumer prices,Index,,,93.408,95.897,97.824,99.098,99.237,100.002,101.277,102.881,106.908,108.656,110.488,114.16,117.77,120.38,122.435,124.319,126.432,128.834,131.411,134.039
FIN,Finland,Unemployment rate,Percent of total labor force,,,9.783,9.125,9.075,9.008,8.825,8.4,7.717,6.867,6.367,8.242,8.383,7.775,7.742,8.142,8.137,7.914,7.7,7.6,7.5,7.4
FIN,Finland,Employment,Persons,Millions,,2.335,2.367,2.372,2.365,2.365,2.401,2.443,2.492,2.531,2.457,2.447,2.474,2.483,2.457,2.449,2.455,n/a,n/a,n/a,n/a
FIN,Finland,Population,Persons,Millions,,5.181,5.195,5.206,5.22,5.237,5.256,5.277,5.3,5.326,5.351,5.375,5.401,5.427,5.451,5.476,5.501,5.522,5.542,5.563,5.584
FRA,France,Gross domestic product constant prices,National currency,Billions,,1586.56,1615.69,1630.69,1645.36,1687.23,1718.05,1760.43,1800.66,1799.21,1742.58,1772.64,1808.57,1808.82,1813.7,1832.39,1860.42,1892.23,1926.67,1963.66,2001.46
FRA,France,Inflation average consumer prices,Index,,,90.46,92.073,93.858,95.893,98.134,99.998,101.913,103.552,106.825,106.935,108.788,111.281,113.749,114.878,116.026,117.451,118.978,120.68,122.526,124.511
FRA,France,Unemployment rate,Percent of total labor force,,,9.008,8.175,8.308,8.925,9.292,9.275,9.225,8.375,7.775,9.517,9.725,9.6,10.242,10.808,11.044,10.739,10.317,9.959,9.783,9.783
FRA,France,Employment,Persons,Millions,,23.987,24.43,24.713,24.67,24.77,25.001,25.101,25.571,25.894,25.665,25.743,25.803,25.802,25.787,25.822,25.713,n/a,n/a,n/a,n/a
FRA,France,Population,Persons,Millions,,58.858,59.267,59.686,60.102,60.505,60.963,61.4,61.795,62.135,62.466,62.765,63.07,63.379,63.66,63.951,64.244,64.538,64.833,65.13,65.43
GAB,Gabon,Gross domestic product constant prices,National currency,Billions,,3733.01,3813.26,3787.54,3851.97,3895.1,3864.47,3790.73,4030.79,4100.62,4007.16,4256.83,4551.44,4803.56,5086.34,5378.16,5718.83,6105.73,6479.27,6874.67,7271.92
GAB,Gabon,Inflation average consumer prices,Index,,,100,102.136,102.304,104.457,104.884,106.112,104.62,103.552,109.002,111.057,112.664,114.086,117.147,117.71,124.301,127.408,130.593,133.858,137.205,140.635
GAB,Gabon,Population,Persons,Millions,,1.205,1.235,1.266,1.298,1.33,1.364,1.398,1.433,1.454,1.475,1.496,1.518,1.541,1.563,1.586,1.608,1.631,1.654,1.677,1.699
GMB,The Gambia,Gross domestic product constant prices,National currency,Billions,,14.848,15.702,15.193,16.237,17.381,17.217,17.411,18.043,19.078,20.308,21.634,20.704,21.796,23.18,24.888,26.628,28.099,29.646,31.28,33.004
GMB,The Gambia,Inflation average consumer prices,Index,,,151.57,158.379,172.015,201.312,230.074,241.484,246.448,259.682,271.24,283.593,297.913,312.201,326.703,343.827,362.007,380.107,399.113,419.068,440.022,462.023
GMB,The Gambia,Population,Persons,Millions,,1.297,1.336,1.376,1.418,1.46,1.504,1.547,1.591,1.636,1.682,1.728,1.776,1.825,1.876,1.927,1.98,2.035,2.091,2.149,2.208
GEO,Georgia,Gross domestic product constant prices,National currency,Billions,,6.013,6.295,6.642,7.379,7.811,8.56,9.363,10.518,10.762,10.356,11.003,11.792,12.521,12.926,13.571,14.249,14.962,15.708,16.495,17.321
GEO,Georgia,Inflation average consumer prices,Index,,,128.343,134.359,141.855,148.644,157.066,170.035,185.612,202.774,223.065,226.916,243.047,263.812,261.322,259.972,270.303,282.622,295.5,310.275,325.789,342.078
GEO,Georgia,Unemployment rate,Percent of total labor force,,,10.346,11.148,12.594,11.501,12.624,13.8,13.578,13.279,16.469,16.85,16.291,15.062,15.034,n/a,n/a,n/a,n/a,n/a,n/a,n/a
GEO,Georgia,Population,Persons,Millions,,4.435,4.401,4.372,4.343,4.315,4.322,4.401,4.395,4.382,4.385,4.436,4.469,4.498,4.484,4.47,4.456,4.443,4.429,4.415,4.384
DEU,Germany,Gross domestic product constant prices,National currency,Billions,,2159.78,2195.15,2195.82,2187.31,2202.49,2221.12,2307.43,2385.61,2404.86,2282.57,2370.6,2451.18,2473.14,2486.43,2528.94,2568.37,2604.42,2639.87,2674.3,2708.71
DEU,Germany,Inflation average consumer prices,Index,,,92.367,94.125,95.392,96.367,98.1,99.983,101.767,104.092,106.942,107.183,108.425,111.133,113.5,115.317,116.886,118.472,120.368,122.414,124.495,126.611
DEU,Germany,Unemployment rate,Percent of total labor force,,,7.992,7.85,8.683,9.783,10.475,11.267,10.175,8.683,7.517,7.783,7.1,5.95,5.458,5.283,5.211,5.179,5.164,5.175,5.209,5.267
DEU,Germany,Employment,Persons,Millions,,36.324,36.528,36.275,35.927,35.463,36.268,37.214,37.977,38.552,38.461,38.728,39.731,40.087,40.684,40.946,41.208,n/a,n/a,n/a,n/a
DEU,Germany,Population,Persons,Millions,,82.26,82.44,82.537,82.532,82.501,82.438,82.315,82.218,82.002,81.802,81.752,80.328,80.524,80.8,80.925,81.016,81.025,81.004,80.983,80.947
GHA,Ghana,Gross domestic product constant prices,National currency,Billions,,13.733,14.35,15.018,15.786,16.625,17.626,18.705,19.913,21.592,22.454,24.252,27.892,30.099,31.739,33.253,35.045,37.892,40.719,43.467,45.133
GHA,Ghana,Inflation average consumer prices,Index,,,100,132.906,152.596,193.304,217.717,250.621,276.062,305.692,356.199,429.467,479.601,521.453,569.202,635.606,718.317,797.708,873.49,951.891,1032.57,1116.21
GHA,Ghana,Population,Persons,Millions,,18.412,18.883,19.366,19.861,20.368,20.889,21.423,21.97,22.532,23.108,23.699,24.304,24.926,25.563,26.216,26.886,27.573,28.278,29.001,29.742
GRC,Greece,Gross domestic product constant prices,National currency,Billions,,158.377,165.023,170.7,180.847,188.746,193.05,203.688,210.891,210.44,203.841,193.765,179.998,167.436,160.981,161.947,166.671,172.848,178.871,184.86,189.987
GRC,Greece,Inflation average consumer prices,Index,,,84.625,87.48,90.655,93.856,96.576,100,103.196,106.183,110.593,111.931,117.207,121.11,122.928,121.795,121.261,121.685,122.97,124.496,126.052,128.043
GRC,Greece,Unemployment rate,Percent of total labor force,,,11.35,10.784,10.314,9.714,10.494,9.853,8.891,8.276,7.654,9.461,12.531,17.653,24.238,27.251,26.263,24.35,21.409,19.13,16.339,13.953
GRC,Greece,Employment,Persons,Millions,,4.088,4.086,4.176,4.275,4.313,4.369,4.452,4.51,4.559,4.509,4.389,4.091,3.763,3.613,3.635,3.729,n/a,n/a,n/a,n/a
GRC,Greece,Population,Persons,Millions,,10.904,10.935,10.969,10.999,11.038,11.074,11.112,11.144,11.182,11.191,11.184,11.123,11.123,11.063,11.04,11.029,11.018,11.007,10.996,10.988
GRD,Grenada,Gross domestic product constant prices,National currency,Billions,,1.574,1.542,1.595,1.746,1.735,1.965,1.886,2.002,2.021,1.887,1.878,1.892,1.858,1.885,1.906,1.929,1.962,2.001,2.049,2.1
GRD,Grenada,Inflation average consumer prices,Index,,,77.26,78.553,79.392,81.103,82.978,85.863,89.513,92.968,100.436,100.126,103.567,106.708,109.281,109.233,111.003,112.85,115.174,117.662,120.318,123.033
GRD,Grenada,Population,Persons,Millions,,0.102,0.102,0.102,0.102,0.103,0.103,0.103,0.104,0.104,0.104,0.105,0.105,0.105,0.106,0.106,0.106,0.107,0.107,0.107,0.108
GTM,Guatemala,Gross domestic product constant prices,National currency,Billions,,143.533,146.978,152.661,156.524,161.458,166.722,175.691,186.767,192.895,193.91,199.474,207.931,214.093,221.586,229.342,237.369,245.677,254.275,263.175,272.386
GTM,Guatemala,Inflation average consumer prices,Index,,,50.889,54.596,59.038,62.345,67.07,73.178,77.98,83.3,92.758,94.483,98.131,104.23,108.173,112.871,117.334,122.123,127.252,132.532,137.966,143.552
GTM,Guatemala,Population,Persons,Millions,,11.231,11.506,11.793,12.091,12.397,12.71,13.029,13.354,13.686,14.027,14.377,14.736,15.105,15.482,15.87,16.266,16.673,17.09,17.517,17.955
GIN,Guinea,Gross domestic product constant prices,National currency,Billions,,6253.72,6489.42,6759.83,6840.95,7001.04,7210.88,7390.91,7520.82,7892.12,7870.01,8022.39,8335.96,8653.87,8874.32,9271.45,9733.03,10233.67,10764.83,12647.74,14876.17
GIN,Guinea,Inflation average consumer prices,Index,,,160.55,169.183,174.192,193.416,227.192,298.435,401.999,493.898,584.611,611.979,706.627,857.5,988.066,1106.24,1219.37,1323.02,1417.61,1506.22,1596.59,1692.38
GIN,Guinea,Population,Persons,Millions,,8.384,8.545,8.706,8.87,9.041,9.221,9.412,9.615,9.833,10.079,10.331,10.589,10.854,11.125,11.403,11.688,11.981,12.28,12.587,12.902
GNB,Guinea-Bissau,Gross domestic product constant prices,National currency,Billions,,278.945,284.434,280.6,281.696,289.704,302.162,308.617,318.5,328.76,338.609,350.367,369.074,363.537,364.623,375.577,390.08,405.924,422.547,439.98,458.881
GNB,Guinea-Bissau,Inflation average consumer prices,Index,,,80.177,82.784,85.517,82.546,83.224,85.925,86.538,90.543,100,98.363,99.416,104.442,106.594,107.278,109.96,112.159,114.402,116.69,119.024,121.404
